programme_code,programme,original_2024_06,supp_i_2024_08,supp_ii_recovered,supp_iii_final_2025_06,actual_birr,absorption_pct,notes
0207000,General Administration Planning and Support Services,278922194,269555506,299305506,299305506,297910000,100,actual from BIRR Table 4.46 (KShs m rounded)
0210010,ICT Infrastructure Connectivity,9564900000,8782920000,4652920000,6512920000,6182420000,95,Supp II recovered from Supp III Approved column
0210020,ICT and BPO Development,7823545150,7350581349,4796431349,7353794900,6494560000,88,
0217000,E-Government Services,4687513408,3594897494,2309197494,2290787110,2408260000,105,COB: excess expenditure - possible irregular budget reallocation
TOTAL,Vote 1122 State Department for ICT & Digital Economy,22354880752,19997954349,12057854349,16456807516,15383150000,93,BIRR narrative confirms all four stage values verbatim
