programme_code,programme,baseline_2023_24,estimates_2024_25,proj_2025_26,proj_2026_27
0207000,General Administration Planning and Support Services,286996755,231885786,289733955,297336614
0208010,News And Information Services,4877831514,4475027827,4898866045,4954763386
0208020,Brand Kenya Initiative,326000000,201290000,231500000,181000000
0208030,ICT and Media Regulatory Services,1550500000,731900000,1102900000,1162900000
0209000,Mass Media Skills Development,409500000,421206751,523000000,623000000
TOTAL,Vote 1123 Broadcasting & Telecommunications,7450828269,6061310364,7046000000,7219000000
